docket,name,term,decision_margin,kks_correct,courtcast_correct,mplus_correct
05-381,"WEYERHAEUSER COMPANY V.ROSS-SIMMONS HARDWOOD LUMBER COMPANY, INC.",2006,9.0,1,1,1
05-380,"ALBERTO R. GONZALES, ATTORNEY GENERAL v. LEROY CARHART, et al.",2006,5.0,1,0,1
08-1438,"HARVEY LEROY SOSSAMON, III, PETITIONER v. TEXAS et al.",2010,6.0,1,0,0
09-658,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",2010,8.0,1,1,1
06-1221,SPRINT/UNITED MANAGEMENT COMPANY v. ELLEN MENDELSOHN,2007,9.0,1,1,1
05-260,"JOEL SEREBOFF, ET UX. v. MID ATLANTIC MEDICAL SERVICES, INC.",2005,9.0,1,1,0
08-310,"POLAR TANKERS, INC. v. CITY OF VALDEZ, ALASKA",2008,7.0,1,1,1
04-1704,DAIMLERCHRYSLER CORPORATION v. CHARLOTTE CUNO et al.,2005,9.0,1,1,1
08-1341,UNITED STATES v. GLENN MARCUS,2009,7.0,1,1,1
05-18,ARLINGTON CENTRAL SCHOOL DISTRICT BOARD OF EDUCATION v. PEARL MURPHY ET VIR,2005,6.0,1,1,1
06-457,"G. STEVEN ROWE, ATTORNEY GENERAL OF MAINE v. NEW HAMPSHIRE MOTOR TRANSPORT ASSOCIATION, et al.",2007,9.0,1,1,0
12-315,AIR WISCONSIN AIRLINES CORP. v. HOEPER,2013,6.0,1,1,1
06-84,"SAFECO INSURANCE COMPANY OF AMERICA, et al. v. CHARLES BURR, et al.",2006,9.0,1,1,1
11-817,"FLORIDA, PETITIONER v. CLAYTON HARRIS",2012,9.0,0,0,1
07-8521,"EDWARD JEROME HARBISON v. RICKY BELL, WARDEN",2008,7.0,0,1,1
06-11543,LARRY BEGAY v. UNITED STATES,2007,6.0,1,1,1
11-204,"MICHAEL SHANE CHRISTOPHER, et al., PETITIONERS v. SMITHKLINE BEECHAM CORPORATION DBA GLAXOSMITHKLINE",2011,5.0,0,0,0
04-928,OREGON v. RANDY LEE GUZEK,2005,8.0,1,1,1
04-1144,"KELLY A. AYOTTE, ATTORNEY GENERAL OF NEW HAMPSHIRE v. PLANNED PARENTHOOD OF NORTHERN NEW ENGLAND, et al.",2005,9.0,1,1,1
12-416,"FEDERAL TRADE COMMISSION, PETITIONER v. ACTAVIS, INC., et al.",2012,5.0,0,1,1
12-414,BURT v. TITLOW,2013,9.0,1,1,1
04-1140,"GERALD T. MARTIN, ET UX. v. FRANKLIN CAPITAL CORPORATION et al.",2005,9.0,1,0,0
08-674,"NRG POWER MARKETING, LLC, et al. v. MAINE PUBLIC UTILITIES COMMISSION et al.",2009,8.0,1,1,1
12-794,WHITE v. WOODALL,2013,6.0,1,1,1
08-678,"MOHAWK INDUSTRIES, INC. v. NORMAN CARPENTER",2009,9.0,1,1,0
04-1067,GEORGIA v. SCOTT FITZ RANDOLPH,2005,5.0,0,0,0
12-418,"UNITED STATES, PETITIONER v. ANTHONY JAMES KEBODEAUX",2012,7.0,1,1,1
09-479,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",2010,8.0,0,0,0
09-571,"HARRY F. CONNICK, DISTRICT ATTORNEY, et al., PETITIONERS v. JOHN THOMPSON",2010,5.0,1,1,1
06-313,"DON ROPER, SUPERINTENDENT, POTOSI CORRECTIONAL CENTER v. WILLIAM WEAVER",2006,6.0,0,0,0
12-1281,NLRB v. NOEL CANNING,2013,9.0,1,1,0
09-475,"MONSANTO COMPANY, et al. v. GEERTSON SEED FARMS et al.",2009,7.0,1,1,1
10-313,"TALK AMERICA, PETITIONER v. MICHIGAN BELL TELEPHONE COMPANY DBA AT&T MICHIGAN",2010,8.0,1,1,1
06-6330,DERRICK KIMBROUGH v. UNITED STATES,2007,7.0,1,1,0
12-246,"GENOVEVO SALINAS, PETITIONER v. TEXAS",2012,5.0,0,0,0
08-810,"SALLY L. CONKRIGHT, et al. v. PAUL J. FROMMERT et al.",2009,5.0,0,0,1
08-1332,"CITY OF ONTARIO, CALIFORNIA, et al. v. JEFF QUON et al.",2009,9.0,1,1,1
11-1274,"MARC J. GABELLI AND BRUCE ALPERT, PETITIONERS v. SECURITIES AND EXCHANGE COMMISSION",2012,9.0,0,0,1
09-152,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",2010,6.0,0,0,0
11-400,,-1,5.0,1,,
11-889,"TARRANT REGIONAL WATER DISTRICT, PETITIONER v. RUDOLF JOHN HERRMANN, et al.",2012,9.0,0,0,0
11-1175,"OLIVEA MARX, PETITIONER v. GENERAL REVENUE CORPORATION",2012,7.0,1,0,0
09-10245,WILLIAM FREEMAN v. UNITED STATES,2010,5.0,1,0,1
11-338,"DOUG DECKER, IN HIS OFFICIAL CAPACITY AS OREGON STATE FORESTER, et al., PETITIONERS v. NORTHWEST ENVIRONMENTAL DEFENSE CENTER;",2012,7.0,1,1,1
09-150,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",2010,6.0,1,1,1
05-547,"JOSE ANTONIO LOPEZ v. ALBERTO R. GONZALES, ATTORNEY GENERAL",2006,8.0,1,1,0
12-25,"EDWARD F. MARACICH, et al., PETITIONERS v. MICHAEL EUGENE SPEARS et al.",2012,5.0,0,0,1
11-94,SOUTHERN UNION CO. v. UNITED STATES,2011,6.0,1,1,1
09-158,"BILLY JOE MAGWOOD v. TONY PATTERSON, WARDEN, et al.",2009,5.0,0,1,0
08-495,"MANOJ NIJHAWAN v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",2008,9.0,0,0,0
04-721,"MIKE EVANS, ACTING WARDEN v. REGINALD CHAVIS",2005,9.0,1,0,1
06-856,"JAMES LARUE v. DEWOLFF, BOBERG & ASSOCIATES, INC., ET AL",2007,9.0,1,1,1
12-1036,MISS. EX REL. HOOD v. AU OPTRONICS CORP.,2013,9.0,0,0,1
08-7621,JOE HARRIS SULLIVAN v. FLORIDA,2009,9.0,0,0,0
12-1038,UNITED STATES v. APEL,2013,9.0,1,1,1
10-1293,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. FOX TELEVISION STATIONS, INC., et al. FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. ABC, INC., et al.",2011,8.0,1,1,1
07-10374,"KEITH HAYWOOD v. CURTIS DROWN, et al.",2008,5.0,1,1,1
09-1233,"EDMUND G. BROWN, JR., GOVERNOR OF CALIFORNIA, et al., APPELLANTS v. MARCIANO PLATA et al.",2010,5.0,0,0,0
08-88,VERMONT v. MICHAEL BRILLON,2008,7.0,1,1,1
09-5201,"MICHAEL GARY BARBER, et al. v. J. E. THOMAS, WARDEN",2009,6.0,1,0,0
05-1448,"JEFFREY H. BECK, LIQUIDATING TRUSTEE OF THE ESTATES OF CROWN VANTAGE, INC. AND CROWN PAPER COMPANY v. PACE INTERNATIONAL UNION et al.",2006,9.0,1,1,1
10-553,"HOSANNA-TABOR EVANGELICAL LUTHERAN CHURCH AND SCHOOL v. EQUAL EMPLOYMENT OPPORTUNITY COMMISSION, et al.",2011,9.0,1,0,1
11-9540,"MATTHEW ROBERT DESCAMPS, PETITIONER v. UNITED STATES",2012,8.0,1,1,1
07-440,ROTHGERY v. GILLESPIE COUNTY,2007,8.0,1,1,1
10-382,"UNITED STATES, PETITIONER v. JICARILLA APACHE NATION",2010,7.0,1,1,1
11-1221,"JACQUELINE HILLMAN, PETITIONER v. JUDY A. MARETTA",2012,9.0,1,0,0
10-6,"GLOBAL-TECH APPLIANCES, INC., et al., PETITIONERS v. SEB S.A.",2010,8.0,0,0,0
07-320,DAVIS v. FEC,2007,5.0,1,1,1
10-10,"MICHAEL D. TURNER, PETITIONER v. REBECCA L. ROGERS et al.",2010,5.0,1,1,1
07-1114,"GARY BRADFORD CONE v. RICKY BELL, WARDEN",2008,7.0,1,1,1
04-10566,MOISES SANCHEZ-LLAMAS v. OREGON,2005,6.0,1,1,0
05-908,PARENTS INVOLVED IN COMMUNITY SCHOOLS v. SEATTLE SCHOOL DISTRICT NO. 1 et al.,2006,5.0,1,1,1
06-1204,PHILIPPINES v. PIMENTEL,2007,7.0,1,1,1
04-1203,UNITED STATES v. GEORGIA et al.,2005,9.0,1,1,1
05-1240,ANDRE WALLACE v. KRISTEN KATO et al.,2006,7.0,1,0,0
06-179,"DONNA S. RIEGEL, INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF CHARLES R. RIEGEL v. MEDTRONIC, INC.",2007,8.0,1,1,0
07-10441,JOHNNIE CORLEY v. UNITED STATES,2008,5.0,1,1,0
05-7058,"LORENZO L. JONES V.BARBARA BOCK, WARDEN, et al.",2006,9.0,1,1,1
13-7211,JENNINGS v. STEPHENS,2014,6.0,1,1,1
07-11191,MARK A. BRISCOE AND SHELDON A. CYPRESS v. VIRGINIA,2009,9.0,0,0,1
05-1629,"ALBERTO R. GONZALES, ATTORNEY GENERAL v. LUIS ALEXANDER DUENAS-ALVAREZ",2006,9.0,1,1,1
04-1360,"BOOKER T. HUDSON, JR. v. MICHIGAN",2005,5.0,0,0,0
06-1037,KY. RET. SYS. v. EEOC,2007,5.0,1,1,1
08-586,"JERRY N. JONES, et al. v. HARRIS ASSOCIATES L. P.",2009,9.0,1,1,1
04-1581,"WISCONSIN RIGHT TO LIFE, INC. v. FEDERAL ELECTION COMMISSION",2005,9.0,0,1,1
08-1553,KAWASAKI KISEN KAISHA LTD. et al. v. REGAL-BELOIT CORP. et al.,2009,6.0,1,1,1
12-357,SEKHAR v. UNITED STATES,2012,9.0,1,1,1
06-1595,"VICKY S. CRAWFORD v. METROPOLITAN GOVERNMENT OF NASHVILLE AND DAVIDSON COUNTY, TENNESSEE",2008,9.0,1,1,1
08-192,SALMAN KHADE ABUELHAWA v. UNITED STATES,2008,9.0,1,1,0
07-1209,"ERIC K. SHINSEKI, SECRETARY OF VETERANS AFFAIRS v. WOODROW F. SANDERS",2008,6.0,1,1,1
07-588,"ENTERGY CORPORATION v. RIVERKEEPER, INC., et al.",2008,5.0,1,1,1
07-665,"PLEASANT GROVE CITY, UTAH et al. v. SUMMUM",2008,9.0,1,1,1
06-713,"WASHINGTON STATE GRANGE v. WASHINGTON STATE REPUBLICAN PARTY, et al.",2007,7.0,1,1,1
07-582,"FEDERAL COMMUNICATIONS COMMISSION, et al. v. FOX TELEVISION STATIONS, INC., et al.",2008,5.0,1,1,1
07-581,14 PENN PLAZA LLC et al. v. STEVEN PYETT et al.,2008,5.0,0,1,1
07-219,EXXON SHIPPING CO. v. BAKER,2007,5.0,1,1,1
08-7412,TERRANCE JAMAR GRAHAM v. FLORIDA,2009,6.0,1,1,1
05-1575,"DORA B. SCHRIRO, DIRECTOR, ARIZONA DEPARTMENT OF CORRECTIONS v. JEFFREY TIMOTHY LANDRIGAN, AKA BILLY PATRICK WAYNE HILL",2006,5.0,1,1,1
11-564,"FLORIDA, PETITIONER v. JOELIS JARDINES",2012,5.0,0,0,0
07-214,"ALLISON ENGINE COMPANY, INC., et al. v. UNITED STATES ex rel. ROGER L. SANDERS AND ROGER L. THACKER",2007,9.0,0,1,1
08-108,IGNACIO CARLOS FLORES-FIGUEROA v. UNITED STATES,2008,9.0,0,1,0
12-515,MICHIGAN v. BAY MILLS INDIAN COMMUNITY,2013,5.0,0,0,0
11-345,"ABIGAIL NOEL FISHER, PETITIONER v. UNIVERSITY OF TEXAS AT AUSTIN et al.",2012,7.0,0,0,1
08-538,WILLIAM G. SCHWAB v. NADEJDA REILLY,2009,6.0,0,1,1
08-103,"REED ELSEVIER, INC., et al., v. IRVIN MUCHNICK et al.",2009,8.0,1,1,1
11-681,HARRIS v. QUINN,2013,5.0,1,0,1
08-1371,"CHRISTIAN LEGAL SOCIETY CHAPTER OF THE UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW, AKA HASTINGS CHRISTIAN FELLOWSHIP v. LEO P. MARTINEZ et al.",2009,5.0,0,0,0
09-5801,"RUBEN FLORES-VILLAR, PETITIONER v. UNITED STATES",2010,4.0,0,0,0
10-5258,"CLIFTON TERELLE MCNEILL, PETITIONER v. UNITED STATES",2010,9.0,0,1,0
06-1463,ARNOLD M. PRESTON v. ALEX E. FERRER,2007,8.0,1,1,1
08-441,"JACK GROSS v. FBL FINANCIAL SERVICES, INC.",2008,5.0,0,0,1
13-298,ALICE CORP. PTY. LTD. v. CLS BANK INT'L,2013,9.0,1,1,0
06-219,"CHARLES WILKIE, et al. v. HARVEY FRANK ROBBINS",2006,7.0,1,1,1
04-1739,"JEFFREY A. BEARD, SECRETARY, PENNSYLVANIA DEPARTMENT OF CORRECTIONS v. RONALD BANKS, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",2005,6.0,1,1,1
11-45,ELGIN v. DEPARTMENT OF TREASURY,2011,6.0,0,0,0
06-1666,MUNAF v. GEREN,2007,9.0,0,0,1
13-1333,COLEMAN v. TOLLEFSON,2014,9.0,1,1,0
06-1509,MICHAEL H. BOULWARE v. UNITED STATES,2007,9.0,1,1,0
06-1505,MEACHAM v. KNOLLS ATOMIC POWER LAB.,2007,7.0,1,1,1
13-461,"AMERICAN BROADCASTING COS. v. AEREO, INC.",2013,6.0,1,1,1
06-562,UNITED STATES v. ATLANTIC RESEARCH CORPORATION,2006,9.0,0,1,0
12-62,"MARVIN PEUGH, PETITIONER v. UNITED STATES",2012,5.0,1,1,1
06-11612,HOMERO GONZALEZ v. UNITED STATES,2007,8.0,1,0,0
09-587,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",2010,8.0,1,1,1
06-766,"NEW YORK STATE BOARD OF ELECTIONS, et al. v. MARGARITA LOPEZ TORRES ET AL",2007,9.0,1,1,1
11-1231,"KATHLEEN SEBELIUS, SECRETARY OF HEALTH AND HUMAN SERVICES, PETITIONER v. AUBURN REGIONAL MEDICAL CENTER et al.",2012,9.0,1,1,1
05-1157,"CREDIT SUISSE SECURITIES (USA) LLC, FKA CREDIT SUISSE FIRST BOSTON LLC, et al. v. GLEN BILLING et al.",2006,7.0,1,1,1
13-435,"OMNICARE, INC. v. LABORERS DIST. COUNCIL CONSTR. INDUS. PENSION FUND",2014,9.0,0,0,1
08-214,"ATLANTIC SOUNDING CO., INC., et al. v. EDGAR L. TOWNSEND",2008,5.0,0,0,0
12-1493,ABRAMSKI v. UNITED STATES,2013,5.0,0,0,0
04-607,"LABORATORY CORPORATION OF AMERICA HOLDINGS, DBA LABCORP v. METABOLITE LABORATORIES, INC., et al.",2005,5.0,0,0,1
04-1152,"DONALD H. RUMSFELD, SECRETARY OF DEFENSE, et al. v. FORUM FOR ACADEMIC AND INSTITUTIONAL RIGHTS, INC., et al.",2005,8.0,1,1,1
06-7517,IRIZARRY v. UNITED STATES,2007,5.0,0,0,1
09-10876,"DONALD BULLCOMING, PETITIONER v. NEW MEXICO",2010,5.0,1,1,1
12-1371,UNITED STATES v. CASTLEMAN,2013,9.0,1,1,1
08-1198,"STOLT-NIELSEN S. A., et al. v. ANIMALFEEDS INTERNATIONAL CORP.",2009,5.0,1,1,1
05-409,"CARL KIRCHER, et al. v. PUTNAM FUNDS TRUST et al.",2005,9.0,1,1,1
08-1191,"ROBERT MORRISON, et al. v. NATIONAL AUSTRALIA BANK LTD. et al.",2009,8.0,1,0,0
10-1259,"UNITED STATES, PETITIONER v. ANTOINE JONES",2011,9.0,0,0,0
07-1015,"JOHN D. ASHCROFT, FORMER ATTORNEY GENERAL, et al. v. JAVAID IQBAL et al.",2008,5.0,1,1,1
08-969,"HEMI GROUP, LLC AND KAI GACHUPIN v. CITY OF NEW YORK, NEW YORK",2009,5.0,1,1,1
09-1273,"ASTRA USA, INC., et al., PETITIONERS v. SANTA CLARA COUNTY, CALIFORNIA",2010,8.0,1,1,1
09-1272,"KENTUCKY, PETITIONER, v. HOLLIS DESHAUN KING",2010,8.0,1,1,1
12-126,"GREG MCQUIGGIN, WARDEN, PETITIONER v. FLOYD PERKINS",2012,5.0,1,1,1
09-1279,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",2010,8.0,1,1,1
12-3,LAWSON v. FMR LLC,2013,6.0,1,1,1
08-964,"BERNARD L. BILSKI AND RAND A. WARSAW v. DAVID J. KAPPOS, UNDER SECRETARY OF COMMERCE FOR INTELLECTUAL PROPERTY AND DIRECTOR, PATENT AND TRADEMARK OFFICE",2009,9.0,0,0,0
08-1200,"KAREN L. JERMAN v. CARLISLE, MCNELLIE, RINI, KRAMER & ULRICH LPA, et al.",2009,7.0,1,1,1
09-1476,"BOROUGH OF DURYEA, PENNSYLVANIA, et al., PETITIONERS v. CHARLES J GUARNIERI",2010,9.0,1,1,1
13-502,REED v. TOWN OF GILBERT,2014,9.0,1,1,1
11-184,"CAROLYN M. KLOECKNER, PETITIONER v. HILDA L. SOLIS, SECRETARY OF LABOR",2012,9.0,1,1,1
11-182,"ARIZONA, et al., PETITIONERS v. UNITED STATES",2011,5.0,0,0,1
06-6911,JAMES D. LOGAN v. UNITED STATES,2007,9.0,1,1,0
06-969,"FEDERAL ELECTION COMMISSION v. WISCONSIN RIGHT TO LIFE, INC.",2006,5.0,1,0,0
12-842,"REPUBLIC OF ARGENTINA v. NML CAPITAL, LTD.",2013,7.0,0,0,0
09-530,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",2010,8.0,1,1,1
08-992,"JEFFREY A. BEARD, SECRETARY, PENNSYLVANIA DEPARTMENT OF CORRECTIONS, et al. v. JOSEPH J. KINDLER",2009,8.0,1,1,1
07-562,"ALTRIA GROUP, INC., et al. v. STEPHANIE GOOD et al.",2008,5.0,1,0,0
05-128,"HOWARD DELIVERY SERVICE, INC., et al. v. ZURICH AMERICAN INSURANCE CO.",2005,6.0,1,1,1
10-224,"NATIONAL MEAT ASSOCIATION, PETITIONER v. KAMALA D. HARRIS, ATTORNEY GENERAL OF CALIFORNIA, et al.",2011,9.0,1,1,1
08-998,"JAN HAMILTON, CHAPTER 13 TRUSTEE v. STEPHANIE KAY LANNING",2009,8.0,1,1,0
09-737,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",2010,9.0,1,1,1
12-464,KALEY v. UNITED STATES,2013,6.0,1,0,0
11-1518,"RANDY CURTIS BULLOCK, PETITIONER v. BANKCHAMPAIGN, N. A.",2012,9.0,0,0,1
06-1164,JOHN R. SAND & GRAVEL COMPANY v. UNITED STATES,2007,7.0,0,1,0
08-1107,THE HERTZ CORPORATION v. MELINDA FRIEND et al.,2009,9.0,1,1,1
06-134,"THE PERMANENT MISSION OF INDIA TO THE UNITED NATIONS, et al. v. CITY OF NEW YORK, NEW YORK",2006,7.0,1,0,0
09-329,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",2010,9.0,1,1,1
10-507,"PACIFIC OPERATORS OFFSHORE, LLP, et al. v. LUISA L. VALLADOLID ET AL",2011,9.0,1,1,0
11-702,"ADRIAN MONCRIEFFE, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",2012,7.0,1,0,1
04-1324,"PATRICK DAY v. JAMES R. MCDONOUGH, INTERIM SECRETARY, FLORIDA DEPARTMENT OF CORRECTIONS",2005,6.0,1,1,0
04-1327,BOBBY LEE HOLMES v. SOUTH CAROLINA,2005,9.0,0,1,1
04-1329,"ILLINOIS TOOL WORKS INC., et al. v. INDEPENDENT INK, INC.",2005,8.0,1,1,1
04-805,"TEXACO INC. v. FOUAD N. DAGHER, et al.",2005,8.0,1,1,1
12-1173,BRANDT TRUST v. UNITED STATES,2013,8.0,1,1,1
07-312,"FLA. DEP'T OF REVENUE v. PICCADILLY CAFETERIAS, INC.",2007,7.0,1,1,0
14-114,KING v. BURWELL,2014,6.0,1,1,1
13-1174,GELBOIM v. BANK OF AM. CORP.,2014,9.0,1,1,1
07-1122,ARIZONA v. LEMON MONTREA JOHNSON,2008,9.0,1,1,1
07-1125,"LISA FITZGERALD, et vir v. BARNSTABLE SCHOOL COMMITTEE et al.",2008,9.0,1,1,1
11-1347,"JEFFREY LEE CHAFIN, PETITIONER v. LYNNE HALES CHAFIN",2012,9.0,1,1,1
06-1717,"RICHLIN SECURITY SERVICE COMPANY v. MICHAEL CHERTOFF, SECRETARY OF HOMELAND SECURITY",2007,9.0,1,1,1
09-11328,"WILLIE GENE DAVIS, PETITIONER v. UNITED STATES",2010,7.0,0,0,1
12-547,"LINDA METRISH, WARDEN, PETITIONER v. BURT LANCASTER",2012,9.0,1,1,1
11-8976,"CALVIN SMITH, PETITIONER v. UNITED STATES",2012,9.0,1,0,0
04-9728,DONALD CURTIS SAMSON v. CALIFORNIA,2005,6.0,1,1,0
10-1104,"MARGARET MINNECI, et al. v. RICHARD LEE POLLARD et al.",2011,8.0,1,1,1
10-63,"CORY R. MAPLES, PETITIONER v. KIM T. THOMAS, COMMISSIONER, ALABAMA DEPARTMENT OF CORRECTIONS",2011,7.0,1,1,1
10-9646,"EVAN MILLER, PETITIONER v. ALABAMA",2011,5.0,1,1,1
09-1163,"GLEN SCOTT MILNER, PETITIONER v. DEPARTMENT OF THE NAVY",2010,8.0,0,1,1
10-188,"SCHINDLER ELEVATOR CORPORATION, PETITIONER v. UNITED STATES ex rel. DANIEL KIRK",2010,5.0,1,1,1
09-60,"JOSE ANGEL CARACHURI-ROSENDO v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",2009,9.0,1,1,1
08-146,"ARTHUR ANDERSEN LLP, et al. v. WAYNE CARLISLE et al.",2008,6.0,1,0,1
04-1495,"MICHAEL HARTMAN, FRANK KORMANN, PIERCE MCINTOSH, NORMAN ROBBINS, AND ROBERT EDWARDS v. WILLIAM G. MOORE, JR.",2005,5.0,1,1,1
06-1005,UNITED STATES v. EFRAIN SANTOS AND BENEDICTO DIAZ,2007,5.0,1,1,0
09-1036,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",2010,8.0,1,1,1
05-1508,"ZUNI PUBLIC SCHOOL DISTRICT NO. 89, et al. v. DEPARTMENT OF EDUCATION, et al.",2006,5.0,0,1,0
12-307,UNITED STATES v. WINDSOR,2012,5.0,1,1,0
04-1477,"GARY KENT JONES v. LINDA K. FLOWERS, et al.",2005,5.0,1,1,1
11-9953,"JONATHAN EDWARD BOYER, PETITIONER v. LOUISIANA",2012,5.0,0,0,1
13-935,"WELLNESS INTERNATIONAL NETWORK, LIMITED v. SHARIF",2014,6.0,1,1,1
11-965,DAIMLERCHRYSLER AG v. BAUMAN,2013,9.0,1,1,1
08-1402,"MARY BERGHUIS, WARDEN v. DIAPOLIS SMITH",2009,9.0,1,1,1
08-240,"MAC'S SHELL SERVICE, INC., et al. v. SHELL OIL PRODUCTS CO. LLC et al.",2009,9.0,0,0,1
07-1239,"DONALD C. WINTER, SECRETARY OF THE NAV., et al. v. NATURAL RESOURCES DEFENSE COUNCIL, INC., et al.",2008,5.0,1,1,1
12-98,"ALDONA WOS, SECRETARY, NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES, PETITIONER v. E. M. A., A MINOR, BY AND THROUGH HER GUARDIAN AD LITEM, DANIEL H. JOHNSON, et al.",2012,6.0,1,0,0
13-1371,"TEXAS DEPARTMENT OF HOUSING AND COMMUNITY AFFAIRS v. INCLUSIVE COMMUNITIES PROJECT, INC.",2014,5.0,1,1,0
12-99,UNITE HERE LOCAL 355 v. MULHALL,2013,6.0,1,1,0
05-9264,"ALPHONSO JAMES, JR. v. UNITED STATES",2006,5.0,0,0,1
12-930,SCIALABBA v. CUELLAR DE OSORIO,2013,5.0,1,0,1
07-636,"KARI E. KENNEDY, EXECUTRIX OF THE ESTATE OF WILLIAM PATRICK KENNEDY, DECEASED v. PLAN ADMINISTRATOR FOR DUPONT SAVINGS AND INVESTMENT PLAN et al.",2008,9.0,0,0,0
05-1056,MICROSOFT CORPORATION v. AT&T CORP.,2006,7.0,1,1,1
08-661,"AMERICAN NEEDLE, INC. v. NATIONAL FOOTBALL LEAGUE et al.",2009,9.0,1,1,1
04-1170,"KANSAS v. MICHAEL LEE MARSH, II",2005,5.0,1,1,1
11-9307,"ARMARCION D. HENDERSON, PETITIONER v. UNITED STATES",2012,6.0,1,1,1
09-868,"ASHBEL T. WALL, II, DIRECTOR, RHODE ISLAND DEPARTMENT OF CORRECTIONS, PETITIONER v. KHALIL KHOLI",2010,9.0,1,0,0
12-786,"LIMELIGHT NETWORKS, INC. v. AKAMAI TECHNOLOGIES, INC.",2013,9.0,1,1,1
10-1219,"DAVID J. KAPPOS, UNDER SECRETARY OF COMMERCE FOR INTELLECTUAL PROPERTY AND DIRECTOR, PATENT AND TRADEMARK OFFICE, PETITIONER v. GILBERT P. HYATT",2011,9.0,1,1,0
12-7822,FERNANDEZ v. CALIFORNIA,2013,6.0,1,1,0
04-1618,"NORTHERN INSURANCE COMPANY OF NEW YORK v. CHATHAM COUNTY, GEORGIA",2005,9.0,1,1,1
12-872,MADIGAN v. LEVIN,2013,9.0,1,1,0
10-1211,"PANAGIS VARTELAS, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",2011,6.0,1,1,1
07-5439,"RALPH BAZE AND THOMAS C. BOWLING v. JOHN D. REES, COMMISSIONER, KENTUCKY DEPARTMENT OF CORRECTIONS, ET AL",2007,7.0,1,1,0
09-1533,"FRANTZ DEPIERRE, PETITIONER v. UNITED STATES",2010,9.0,1,0,0
07-1059,UNITED STATES v. EURODIF S. A. et al.,2008,9.0,1,1,1
12-609,KANSAS v. CHEEVER,2013,9.0,1,1,1
12-761,POM WONDERFUL LLC v. COCA-COLA CO.,2013,8.0,1,1,1
08-1498,"ERIC H. HOLDER, JR., ATTORNEY GENERAL, et al. v. HUMANITARIAN LAW PROJECT et al.",2009,6.0,1,1,1
11-1085,"AMGEN INC., et al., PETITIONERS v. CONNECTICUT RETIREMENT PLANS AND TRUST FUNDS",2012,6.0,0,1,0
08-1322,"MICHAEL J. ASTRUE, COMMISSIONER OF SOCIAL SECURITY v. CATHERINE G. RATLIFF",2009,9.0,1,1,1
06-1431,"CBOCS WEST, INC. v. HEDRICK G. HUMPHRIES",2007,7.0,0,1,0
07-6984,"CARLOS JIMENEZ v. NATHANIEL QUARTERMAN, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION",2008,9.0,1,1,1
07-474,"ANUP ENGQUIST v. OREGON DEPARTMENT OF AGRICULTURE, ET AL",2007,6.0,1,1,0
08-9156,"HOLLY WOOD, PETITIONER v. RICHARD F. ALLEN, COMMISSIONER, ALABAMA DEPARTMENT OF CORRECTIONS, et al.",2009,7.0,0,0,0
11-1160,"FEDERAL TRADE COMMISSION, PETITIONER v. PHOEBE PUTNEY HEALTH SYSTEM, INC., et al.",2012,9.0,0,0,1
06-923,METRO. LIFE INS. CO. v. GLENN,2007,6.0,0,1,0
04-631,"JOAN WAGNON, SECRETARY, KANSAS DEPARTMENT OF REVENUE v. PRAIRIE BAND POTAWATOMI NATION",2005,7.0,1,1,1
04-980,"JILL L. BROWN, WARDEN v. RONALD L. SANDERS",2005,5.0,1,1,1
08-322,"NORTHWEST AUSTIN MUNICIPAL UTILITY DISTRICT NUMBER ONE v. ERIC H. HOLDER, JR., ATTORNEY GENERAL, et al.",2008,8.0,0,0,1
