,amicus,argDate,argMonth,argYear,caseName,cutoffs_ALL,cutoffs_BREYER,cutoffs_GINSBURG,cutoffs_KENNEDY,cutoffs_ROBERTS,cutoffs_SCALIA,decDate,majVotes,minVotes,winner,words_BREYER,words_GINSBURG,words_KENNEDY,words_ROBERTS,words_SCALIA,sentiment_BREYER,sentiment_GINSBURG,sentiment_KENNEDY,sentiment_ROBERTS,sentiment_SCALIA,petitioner_dk,respondent_dk,caseOrigin_circuit,caseSource_circuit,source_origin_diff,lcDispositionDirection,lcDisposition,issueArea,certReason,jurisdiction,adminAction,adminActionState,BREYER_pet_wc,BREYER_res_wc,BREYER_pet_qc,BREYER_res_qc,BREYER_pet_cc,BREYER_res_cc,GINSBURG_pet_wc,GINSBURG_res_wc,GINSBURG_pet_qc,GINSBURG_res_qc,GINSBURG_pet_cc,GINSBURG_res_cc,KENNEDY_pet_wc,KENNEDY_res_wc,KENNEDY_pet_qc,KENNEDY_res_qc,KENNEDY_pet_cc,KENNEDY_res_cc,ROBERTS_pet_wc,ROBERTS_res_wc,ROBERTS_pet_qc,ROBERTS_res_qc,ROBERTS_pet_cc,ROBERTS_res_cc,SCALIA_pet_wc,SCALIA_res_wc,SCALIA_pet_qc,SCALIA_res_qc,SCALIA_pet_cc,SCALIA_res_cc
06-1249,1,11/3/2008,11,2008,WYETH v. DIANA LEVINE,9,-1,-1,-0.333333333,0.5,0.5,3/4/2009,6,3,0,0.146616541,-0.7890625,-0.188498403,0.401151631,0.645539906,0.103950786,0.103468123,0.022959184,0.069015152,0.018203857,1.0,0.0,0.0,0.0,1,2.0,2.0,10,8.0,1,1,0,227,305,3,4,14,23,229,27,6,1,13,1,186,127,4,2,11,3,156,366,0,2,7,17,151,701,7,13,9,41
06-1286,0,11/27/2007,11,2007,MICHAEL J. KNIGHT TRUSTEE OF THE WILLIAM L. RUDKIN TESTAMENTARY TRUST v. COMMISSIONER OF INTERNAL REVENUE,10,0.333333333,0.333333333,-0.333333333,-0.076923077,0.25,1/16/2008,9,0,0,-0.053619303,0.127701375,-0.563291139,-0.28030303,0.564485981,0.059704724,0.034246716,0.198028274,0.0720981,-0.086032145,8.0,2.0,-1,2.0,0,2.0,2.0,12,2.0,1,1,0,393,425,4,6,21,29,222,287,4,7,12,20,247,69,7,2,14,5,676,391,12,10,39,23,233,884,4,12,17,47
06-1287,1,11/5/2007,11,2007,CSX TRANSPORTATION INC. v. GEORGIA STATE BOARD OF EQUALIZATION ET AL,11,1,0,1,-0.428571429,0.285714286,12/4/2007,9,0,1,1,0.467811159,-0.733870968,-0.5,0.321596244,-0.053224206,0.069090909,0.064520202,0.110008929,-0.007957556,1.0,5.0,11.0,11.0,1,2.0,2.0,8,12.0,1,1,1,0,259,0,4,1,13,62,179,1,0,5,6,215,33,5,3,8,4,750,255,9,5,34,10,310,612,9,12,16,36
06-1321,0,2/19/2008,2,2008,MYRNA GOMEZ-PEREZ v. JOHN E. POTTER POSTMASTER GENERAL,12,0,0.714285714,0,-0.090909091,-0.777777778,5/27/2008,6,3,1,-0.266757866,0.574742268,0,-0.352179034,-0.696356275,-0.112425595,0.129897959,0,0.054391018,-0.044773065,11.0,2.0,1.0,1.0,1,1.0,2.0,2,2.0,1,0,0,463,268,13,5,32,16,165,755,1,12,10,31,0,0,0,0,1,1,574,275,4,5,23,12,430,75,9,3,33,6
06-1322,-1,11/6/2007,11,2007,FEDERAL EXPRESS CORPORATION v. PAUL HOLOWECKI ET AL,-4,0.333333333,-0.5,1,-0.272727273,0.058823529,2/27/2008,7,2,0,0.626848692,-0.903301887,1,-0.34733441,0.280346821,-0.175365966,0.057690985,-0.4,-0.140007143,-0.101767145,1.0,11.0,2.0,2.0,1,2.0,2.0,2,2.0,1,1,0,219,715,6,8,15,45,807,41,10,4,35,4,0,34,0,2,1,5,417,202,4,7,19,14,498,895,10,16,34,52
06-134,1,4/24/2007,4,2007,THE PERMANENT MISSION OF INDIA TO THE UNITED NATIONS et al. v. CITY OF NEW YORK NEW YORK,-4,0.2,-0.555555556,0.333333333,0.333333333,-0.333333333,6/14/2007,7,2,0,0.160305344,-0.709401709,-0.030927835,-0.323943662,-0.311635476,-0.114093615,0.027973239,-0.146162571,0.208664773,0.193007576,0.0,4.0,2.0,2.0,1,2.0,2.0,8,12.0,1,0,0,275,567,8,4,17,17,311,53,5,1,20,5,261,235,4,7,17,18,251,120,4,1,12,7,807,423,15,13,48,34
06-1413,0,1/16/2008,1,2008,MEADWESTVACO CORPORATION SUCCESSOR IN INTEREST TO THE MEAD CORPORATION v. ILLINOIS DEPARTMENT OF REVENUE ET AL,-4,-0.333333333,-0.818181818,0.454545455,-0.6,0.75,4/15/2008,9,0,0,0.190082645,-0.332730561,0.449392713,-0.311163895,0.437262357,-0.09656272,-0.041680778,0.303477846,0.016170172,-0.17786045,1.0,5.0,0.0,0.0,1,2.0,2.0,8,12.0,1,0,0,294,432,2,8,12,22,737,369,16,8,38,13,137,362,5,2,9,17,552,290,5,2,23,17,74,229,1,4,5,13
06-1431,-1,3/27/2008,3,2008,CBOCS WEST INC. v. HEDRICK G. HUMPHRIES,-4,-1,-0.2,0.384615385,0.833333333,-0.714285714,5/27/2008,7,2,0,-0.7002457,-0.673289183,0.534025375,0.413965087,-0.115812918,0.231775245,0.061606441,-0.064928301,0.036262362,0.223947511,1.0,11.0,7.0,7.0,1,2.0,8.0,2,11.0,1,1,0,694,122,15,0,41,4,382,74,10,2,24,4,217,692,5,6,21,38,235,567,2,12,8,33,502,405,21,7,43,25
06-1456,0,2/25/2008,2,2008,HUMBERTO FIDEL REGALADO CUELLAR v. UNITED STATES,-11,-0.142857143,0,-0.142857143,-0.25,0.090909091,6/2/2008,9,0,1,0.23138833,0.071532847,0.189189189,-0.109774436,0.10075188,0.15218254,0.014488636,0.113976716,0.205059524,0.152270448,3.0,2.0,5.0,5.0,1,1.0,2.0,1,12.0,1,0,0,191,331,3,6,10,18,318,367,7,4,14,14,195,286,3,4,16,19,373,296,6,11,27,18,329,373,11,4,22,22
06-1457,1,2/19/2008,2,2008,MORGAN STANLEY CAPITAL GROUP INC. v. PUBLIC UTILITY DISTRICT NO. 1 OF SNOHOMISH COUNTY WASHINGTON et al.,2,0,-0.666666667,-0.2,0,-0.5,6/26/2008,5,2,1,0,-0.825910931,-0.101449275,0,0.024182077,0,-0.233547324,-0.148412698,0,-0.007461279,1.0,4.0,9.0,9.0,1,1.0,8.0,8,12.0,1,1,0,0,0,0,0,1,1,484,43,12,2,29,3,76,74,4,3,6,4,0,0,0,0,1,1,386,361,9,9,26,21
06-1463,0,12/4/2007,12,2007,ARNOLD M. PRESTON v. ALEX E. FERRER,24,0.272727273,1,0.777777778,-1,0.75,2/20/2008,8,1,1,-0.086734694,0.479305741,0.285464098,-0.233050847,0.525745257,-0.089566012,0.006934339,0.063303692,-0.205313853,-0.212386656,0.0,0.0,0.0,0.0,1,1.0,2.0,10,11.0,1,1,1,645,548,5,9,32,37,195,554,2,2,9,32,408,734,11,13,21,44,291,184,6,2,15,8,221,563,5,9,12,48
06-1498,1,2/2/2008,2,2008,WARNER-LAMBERT CO. LLC et al. v. KIMBERLY KENT et al.,1,0.714285714,-0.2,0.714285714,0,-0.25,3/3/2008,4,4,0,0.781163435,-0.248756219,0.526132404,0,-0.19047619,-0.069345238,-0.186912605,0.218668831,0,0.120717037,1.0,0.0,2.0,2.0,1,2.0,5.0,10,-1,1,0,0,79,646,0,8,4,32,502,319,4,7,22,17,68,219,3,3,6,11,0,0,0,0,1,1,450,306,10,6,21,17
06-1505,1,4/23/2008,4,2008,MEACHAM v. KNOLLS ATOMIC POWER LAB.,-3,0,0.333333333,-0.8,-0.6,0,6/19/2008,7,1,1,0,-0.222836096,-0.914529915,-0.642058166,-1,0,0.138769157,0.067307692,-0.058137755,-0.3625,11.0,1.0,2.0,2.0,1,1.0,1.5,2,12.0,1,0,0,0,0,0,0,1,1,332,213,4,1,15,15,374,15,9,1,19,1,367,80,3,1,17,4,26,0,1,0,2,1
06-1509,0,1/8/2008,1,2008,MICHAEL H. BOULWARE v. UNITED STATES,15,0.538461538,0.333333333,-0.2,0.333333333,0.076923077,3/3/2008,9,0,1,0.58045292,0.287037037,-0.569892473,0.297546012,0.313054499,0.209886965,0.039166667,-0.093114035,0.00470994,0.005276976,8.0,2.0,9.0,9.0,1,1.0,2.0,1,2.0,1,0,0,176,663,3,8,10,31,231,417,6,10,10,24,438,120,5,1,16,8,229,423,6,2,15,22,304,518,9,3,15,19
06-157,0,2/25/2007,2,2007,JAY F. HEIN DIRECTOR WHITE HOUSE OFFICE OF FAITH-BASED AND COMMUNITY INITIATIVES et al. v. FREEDOM FROM RELIGION FOUNDATION INC. et al.,-1,-0.466666667,-1,-1,0.882352941,0.083333333,6/25/2007,5,4,1,0.17618469,-0.579925651,0.022900763,0.488479263,0.144611187,0.045113894,-0.1,0.089923469,-0.016161146,0.057106075,0.0,8.0,7.0,7.0,1,2.0,1.5,9,11.0,1,0,0,532,484,8,5,30,23,425,113,6,1,18,6,128,134,3,0,6,2,222,655,1,11,6,43,627,891,13,12,31,59
06-1595,1,10/8/2008,10,2008,VICKY S. CRAWFORD v. METROPOLITAN GOVERNMENT OF NASHVILLE AND DAVIDSON COUNTY TENNESSEE,-2,-1,-1,-1,-0.2,0.333333333,1/26/2009,9,0,1,-0.425968109,0.34,-0.794117647,-0.212636695,0.388414055,0.060833333,-0.079147465,-0.339444444,-0.294865363,0.104029083,11.0,4.0,6.0,6.0,1,1.0,2.0,2,2.0,1,1,0,313,220,5,2,15,14,233,469,4,4,16,20,122,14,0,0,7,2,499,329,12,5,35,19,330,738,9,13,22,29
06-1646,0,1/15/2008,1,2008,UNITED STATES v. GINO RODRIQUEZ,7,1,0,0.5,0.076923077,-0.555555556,5/19/2008,6,3,1,1,-0.248407643,0.318181818,0.231866825,-0.615541922,-0.088046976,-0.508333333,-0.120277778,0.111204212,0.174116162,2.0,3.0,9.0,9.0,1,2.0,2.0,1,2.0,1,0,0,0,495,0,12,1,34,98,59,3,1,4,3,75,145,1,0,4,9,323,520,2,1,12,20,395,94,7,1,22,4
06-1666,0,3/25/2008,3,2008,MUNAF v. GEREN,-4,-0.777777778,-0.25,0.666666667,0.333333333,-1,6/12/2008,9,0,0,-0.286624204,-0.205729167,0.688760807,0.448275862,0.52,0.048871528,0.1270431,0.172985348,-0.119814214,0.141269841,3.0,2.0,12.0,12.0,1,1.0,2.0,1,12.0,1,0,0,508,281,6,5,25,15,463,310,3,7,29,20,54,293,1,6,4,21,232,621,8,8,10,29,72,231,1,6,5,14
06-1717,0,3/19/2008,3,2008,RICHLIN SECURITY SERVICE COMPANY v. MICHAEL CHERTOFF SECRETARY OF HOMELAND SECURITY,1,-0.5,1,0.6,0.090909091,-0.714285714,6/2/2008,9,0,1,0.118541033,0.516339869,0.035369775,0.459459459,-0.307984791,0.063375,0.106665865,-0.012785714,-0.069434524,0.089611345,0.0,2.0,13.0,13.0,1,1.0,-1,6,12.0,1,1,0,145,211,0,3,5,7,111,348,3,4,4,9,150,161,4,2,12,9,250,675,5,7,15,28,172,99,3,3,16,9
06-179,-1,12/4/2007,12,2007,DONNA S. RIEGEL INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF CHARLES R. RIEGEL v. MEDTRONIC INC.,-9,-0.5,0,0.384615385,-0.454545455,-0.846153846,2/20/2008,8,1,0,-0.950980392,-0.061440678,0.08411215,-0.518796992,-0.769764216,-0.668695887,-0.152240765,0.009573003,0.100658369,0.094216427,0.0,1.0,2.0,2.0,1,1.0,2.0,10,11.0,1,0,0,398,10,8,1,20,2,503,443,11,8,24,19,196,232,8,6,14,13,505,160,9,2,26,7,649,83,17,1,44,8
06-219,0,3/19/2007,3,2007,CHARLES WILKIE et al. v. HARVEY FRANK ROBBINS,-17,0.2,-0.866666667,0,0.333333333,-0.571428571,6/25/2007,7,2,1,0.465478842,-0.93883792,0.230769231,0.256890849,-0.228598307,0.026708973,0.153699331,0.087962575,0.030320702,-0.139663985,11.0,0.0,10.0,10.0,1,2.0,2.0,8,12.0,1,1,0,240,665,7,5,18,42,651,20,10,2,39,3,380,448,8,3,24,25,337,570,6,12,15,34,670,410,16,5,38,22
06-278,1,3/19/2007,3,2007,DEBORAH MORSE et al. v. JOSEPH FREDERICK,8,0.4,0.5,0.111111111,0.5,0.391304348,6/25/2007,5,4,1,0.522779923,-0.115318417,-0.122736419,0.367170626,0.562799616,-0.273350085,-0.035527211,-0.031924603,-0.048238453,-0.052763697,11.0,0.0,9.0,9.0,1,2.0,1.5,3,11.0,1,0,0,309,986,8,13,17,45,324,257,5,9,16,13,279,218,7,6,16,13,293,642,3,12,10,27,231,863,7,20,14,50
06-313,0,3/21/2007,3,2007,DON ROPER SUPERINTENDENT POTOSI CORRECTIONAL CENTER v. WILLIAM WEAVER,8,0,-1,0.111111111,1,0.454545455,5/21/2007,6,3,0,0.256454389,-0.817518248,0.040387722,0.399678973,0.536661466,-0.302301664,0.087462798,-0.085825397,-0.054697205,0.173393106,5.0,3.0,8.0,8.0,1,2.0,2.0,1,11.0,1,0,0,640,368,7,4,35,25,249,25,4,0,14,1,336,322,9,16,21,23,187,461,3,9,7,24,342,985,6,19,18,53
06-340,0,4/17/2007,4,2007,NATIONAL ASSOCIATION OF HOME BUILDERS et al. v. DEFENDERS OF WILDLIFE et al.,6,1,-1,1,0.6,0.692307692,6/25/2007,5,4,1,0.1371807,-1,0.598039216,0.690531178,0.581699346,0.048185426,0.256666667,-0.140277778,0.038227513,-0.216939484,2.0,14.0,9.0,9.0,1,2.0,-1,8,2.0,1,1,0,456,601,3,12,21,30,223,0,5,0,9,1,41,163,1,4,1,7,67,376,1,4,3,23,128,542,4,15,5,35
06-376,0,4/23/2007,4,2007,JOHN F. HINCK ET UX. v. UNITED STATES,5,0.777777778,-0.666666667,0,-0.5,-0.142857143,5/21/2007,9,0,0,0.830917874,-0.723076923,0.536231884,0.154554759,0.042288557,-0.108549784,0.297274436,-0.092142857,0.004599078,0.02917328,8.0,2.0,13.0,13.0,1,2.0,2.0,12,2.0,1,1,0,70,801,1,12,7,59,392,63,6,3,17,3,48,159,2,4,2,6,428,564,12,5,23,26,385,436,5,8,24,35
06-413,1,4/17/2007,4,2007,JEFFREY UTTECHT SUPERINTENDENT WASHINGTON STATE PENITENTIARY v. CAL COBURN BROWN,-5,-1,0.333333333,0,0.777777778,1,6/4/2007,5,4,1,-0.110714286,0.114478114,0.226537217,0.398425197,0.379928315,-0.195696925,-0.103125,-0.123863095,0.015013228,-0.120936508,5.0,3.0,9.0,9.0,1,2.0,1.5,1,12.0,1,0,0,311,249,7,2,19,10,263,380,2,4,14,16,239,404,6,12,17,33,193,444,3,15,9,28,195,417,5,6,7,27
06-427,1,4/18/2007,4,2007,TENNESSEE SECONDARY SCHOOL ATHLETIC ASSOCIATION v. BRENTWOOD ACADEMY,2,0.75,1,-0.6,-0.777777778,1,6/21/2007,9,0,1,0.879120879,0.357843137,-0.577777778,-0.656716418,1,-0.064947136,0.125736216,0.248389724,-0.305254121,-0.110953749,0.0,0.0,6.0,6.0,1,2.0,2.0,3,12.0,1,0,0,33,524,1,18,1,32,131,277,3,4,4,13,426,114,3,5,19,9,333,69,11,3,18,4,0,434,0,6,1,26
06-43,-1,10/9/2007,10,2007,STONERIDGE INVESTMENT PARTNERS LLC v. SCIENTIFIC-ATLANTA INC. ET AL,25,0,0.789473684,0.384615385,-0.6,-0.714285714,1/15/2008,5,3,0,0,0.606779661,0.230769231,-0.642673522,-0.831081081,0,-0.002612504,0.197788462,0.248822751,0.109765625,0.0,1.0,8.0,8.0,1,1.0,9.0,8,2.0,1,0,0,0,0,0,0,1,1,174,711,3,14,7,52,190,304,0,7,10,18,642,139,7,1,29,6,542,50,18,2,32,3
06-457,-1,11/28/2007,11,2007,G. STEVEN ROWE ATTORNEY GENERAL OF MAINE v. NEW HAMPSHIRE MOTOR TRANSPORT ASSOCIATION et al.,10,-0.666666667,-0.666666667,1,0.2,0.466666667,2/20/2008,9,0,0,-0.519047619,-0.253012048,1,-0.020408163,0.004026846,0.005057548,-0.306186869,-0.033755411,-0.072754329,-0.206894557,0.0,1.0,1.0,1.0,1,2.0,2.0,10,11.0,1,0,0,319,101,4,3,18,4,312,186,9,4,16,9,0,353,0,3,1,22,150,144,0,3,8,8,373,374,7,10,26,26
06-480,0,3/26/2007,3,2007,LEEGIN CREATIVE LEATHER PRODUCTS INC. v. PSKS INC. DBA KAY'S KLOSET . . . KAY'S SHOES,-9,-1,-0.333333333,-1,0.6,1,6/28/2007,5,4,1,-0.70952381,-0.296577947,-0.542857143,0.470686767,0.706057597,0.036770217,-0.055973138,0.15,0.063622334,-0.040213984,1.0,1.0,5.0,5.0,1,2.0,2.0,8,11.0,1,0,0,718,122,12,1,45,5,344,185,4,5,14,9,135,40,4,1,6,3,162,439,6,6,11,17,148,859,2,7,8,41
06-484,1,3/28/2007,3,2007,TELLABS INC. et al. v. MAKOR ISSUES & RIGHTS LTD. et al.,-5,0.25,-1,0,0.6,0,6/21/2007,8,1,1,0.251028807,-0.741641337,-0.062240664,0.694117647,-0.097472924,-0.089522556,0.314089061,-0.118409091,-0.139047619,-0.218817102,1.0,0.0,7.0,7.0,1,2.0,1.5,8,2.0,1,0,0,273,561,3,4,25,24,573,85,8,0,33,5,263,231,7,6,15,12,78,439,1,7,3,26,304,308,4,5,16,18
06-5247,-1,3/20/2007,3,2007,JOHN FRANCIS FRY v. CHERYL K. PLILER WARDEN,0,-0.666666667,0,0,0.2,-1,6/11/2007,5,4,0,-0.337434095,0.098850575,-0.081081081,-0.175308642,-0.876635514,-0.108527169,0.023611111,-0.068571429,0.165641534,-0.110086873,3.0,5.0,9.0,9.0,1,1.0,2.0,1,12.0,1,0,0,765,377,10,6,40,18,196,239,4,2,8,11,120,108,4,6,10,10,247,167,5,6,11,9,502,33,8,1,24,1
06-5306,-1,3/26/2007,3,2007,KEITH BOWLES v. HARRY RUSSELL WARDEN,-17,-0.2,0.142857143,-1,-1,-0.5,6/14/2007,5,4,0,0.5,0.405909798,-1,-0.61971831,-0.483146067,-0.083308117,0.063867964,-0.0025,0.000375064,-0.077428571,3.0,5.0,6.0,6.0,1,1.0,9.0,9,12.0,1,0,0,160,480,3,4,16,18,191,516,4,11,10,29,310,0,7,0,19,1,690,176,15,4,25,12,336,122,8,6,21,14
06-531,1,4/17/2007,4,2007,MICHAEL W. SOLE SECRETARY FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION et al. v. T. A. WYNER et al.,14,0,0.555555556,-0.6,0.8,0.25,6/4/2007,9,0,1,0.234840132,0.369649805,-0.898832685,0.146341463,0.136778116,0.066129063,-0.018418367,0.4765625,0.010515873,-0.0444939,5.0,14.0,11.0,11.0,1,2.0,2.0,6,11.0,1,0,0,419,560,6,10,28,25,243,528,5,13,23,29,244,13,1,1,10,1,385,538,7,8,17,29,296,617,9,15,19,44
06-5618,0,2/20/2007,2,2007,MARIO CLAIBORNE v. UNITED STATES,-7,0.333333333,-1,-1,-1,-0.333333333,6/4/2007,9,0,0,-0.005813953,-0.346600332,-1,-0.912087912,0.62369338,0.088058539,-0.338535354,0.110565476,0.003670635,0.052847985,3.0,2.0,8.0,8.0,1,1.0,2.0,9,12.0,1,0,0,692,684,7,6,24,26,406,197,9,0,14,8,287,0,3,0,13,1,348,16,6,0,20,2,120,466,0,10,6,23
06-562,-1,4/23/2007,4,2007,UNITED STATES v. ATLANTIC RESEARCH CORPORATION,-6,0.333333333,-0.333333333,1,0.2,0.2,6/11/2007,9,0,0,0.113378685,-0.44500846,1,-0.181208054,0.218867925,-0.061610612,-0.067714286,-0.7,0.090620623,0.113410494,2.0,0.0,8.0,8.0,1,2.0,1.5,8,2.0,1,0,0,391,491,6,6,17,17,427,164,5,1,15,7,0,23,0,0,1,1,352,244,4,7,15,11,207,323,3,9,10,22
06-571,0,10/9/2007,10,2007,MICHAEL A. WATSON v. UNITED STATES,13,0.428571429,0,0.5,0.5,0.142857143,12/10/2007,9,0,1,0.018803419,-0.264864865,-0.333333333,0.192073171,0.428571429,-0.031927998,-0.170454545,0.25,0.244562157,0.096464646,3.0,2.0,5.0,5.0,1,1.0,2.0,1,2.0,1,0,0,292,298,3,6,15,18,234,139,3,4,14,7,188,94,3,2,13,5,265,396,5,5,18,25,151,335,5,7,13,26
06-5754,0,2/20/2007,2,2007,VICTOR A. RITA v. UNITED STATES,1,-0.4,-1,-0.6,0.333333333,0.142857143,6/21/2007,8,1,0,-0.092413793,-0.165644172,-0.264822134,0,-0.545827633,-0.044156746,-0.313435374,0.049642857,0.08316513,0.017667848,3.0,2.0,4.0,4.0,1,1.0,2.0,1,2.0,1,1,0,792,719,14,4,50,28,190,136,4,1,8,5,165,93,8,2,14,6,366,366,6,7,10,18,565,178,3,3,14,12
06-593,1,4/16/2007,4,2007,LONG ISLAND CARE AT HOME LTD. et al. v. EVELYN COKE,13,1,-0.333333333,0,0.666666667,0.5,6/11/2007,9,0,1,1,-0.412587413,-1,0.568345324,0.694063927,-0.085109531,0.062321937,0.275,0.111997568,-0.116987578,0.0,11.0,2.0,2.0,1,2.0,2.0,7,12.0,1,1,0,0,612,0,7,1,39,303,128,6,1,13,2,36,0,0,0,2,1,90,327,1,4,6,23,134,742,5,11,16,38
06-618,-1,4/24/2007,4,2007,OFFICE OF SENATOR MARK DAYTON v. BRAD HANSON,-28,-0.777777778,0,-0.5,0,-1,5/21/2007,8,0,0,0.041619798,-0.316239316,-0.042307692,0,-0.66255144,0.039584196,0.21468254,-0.054315476,0,-0.029797009,2.0,11.0,12.0,12.0,1,2.0,2.0,9,12.0,1,0,0,428,463,11,5,30,16,99,40,5,3,6,3,276,249,9,6,25,11,0,0,0,0,1,1,667,123,9,1,38,7
06-6330,0,10/2/2007,10,2007,DERRICK KIMBROUGH v. UNITED STATES,13,0.333333333,0,-1,0.5,0.5,12/10/2007,7,2,1,0.048723898,-0.664122137,-0.549450549,0.686390533,0.182978723,0.039312642,0.111876417,0.20546875,-0.363333333,0.035119048,3.0,2.0,4.0,4.0,1,1.0,1.5,1,10.0,1,0,0,410,452,2,5,14,17,327,66,4,1,9,2,178,41,8,2,9,2,53,285,0,4,3,15,192,278,0,4,9,16
06-637,-1,10/1/2007,10,2007,BOARD OF EDUCATION OF THE CITY SCHOOL DISTRICT OF THE CITY OF NEW YORK v. TOM F. ON BEHALF OF GILBERT F. A MINOR CHILD,6,1,-1,0,0.263157895,0.5,10/10/2007,4,4,0,0.867595819,-1,0,0.400947867,0.32537961,-0.039880952,0.024130435,0,0.05243895,0.055844187,4.0,0.0,-1,2.0,0,2.0,5.0,2,-1,1,0,0,19,268,1,5,1,15,332,0,6,0,17,1,0,0,0,0,1,1,316,739,2,12,13,38,311,611,3,6,11,28
06-6407,0,4/18/2007,4,2007,SCOTT LOUIS PANETTI v. NATHANIEL QUARTERMAN DIRECTOR TEXAS DEPARTMENT OF CRIMINAL JUSTICE CORRECTIONAL INSTITUTIONS DIVISION,-7,1,-1,0.333333333,-1,-1,6/28/2007,5,4,1,1,-0.352313167,0.241581259,-0.889117043,-0.698695136,0.005178571,0.102120643,0.003907245,0.032490079,0.009336219,3.0,5.0,5.0,5.0,1,1.0,2.0,1,12.0,1,0,0,0,766,0,14,1,39,190,91,1,0,13,4,259,424,8,8,14,21,460,27,9,2,20,2,716,127,11,1,38,5
06-666,0,11/5/2007,11,2007,DEPARTMENT OF REVENUE OF KENTUCKY et al. v. GEORGE W. DAVIS ET UX,13,1,0,-0.333333333,0.818181818,-1,5/19/2008,7,2,1,0.337209302,0.497142857,-0.504424779,0.376646181,-1,-0.139846479,-0.000505952,-0.173360882,0.092618666,-0.05,5.0,8.0,0.0,0.0,1,1.0,1.5,8,2.0,1,0,0,285,575,4,10,16,29,44,131,1,2,4,5,340,112,9,1,21,5,355,791,8,4,17,38,23,0,0,0,1,1
06-6911,0,10/30/2007,10,2007,JAMES D. LOGAN v. UNITED STATES,-6,0,0,-1,-1,-0.2,12/4/2007,9,0,0,0,-0.703703704,-0.84,-0.921232877,-0.904509284,0,0.118333333,0.298051948,-0.318154762,0.01782081,3.0,2.0,7.0,7.0,1,1.0,2.0,1,2.0,1,0,0,0,0,0,0,1,1,253,44,5,0,7,4,184,16,2,1,10,1,561,23,5,2,31,3,359,18,9,2,17,4
06-694,0,10/30/2007,10,2007,UNITED STATES v. MICHAEL WILLIAMS,-16,0.333333333,-0.333333333,-1,-0.5,-0.333333333,5/19/2008,7,2,1,0.367217281,-0.257443082,-0.518867925,0.050632911,0.621414914,-0.013564131,0.004318394,0.135797828,-0.107785336,-0.332936508,2.0,3.0,11.0,11.0,1,2.0,1.5,3,12.0,1,0,0,249,538,0,7,12,28,359,252,4,6,17,11,322,102,7,0,21,5,300,332,2,5,15,15,99,424,2,7,9,23
06-713,0,10/1/2007,10,2007,WASHINGTON STATE GRANGE v. WASHINGTON STATE REPUBLICAN PARTY et al.,10,0,0.5,0.5,-1,-0.333333333,3/18/2008,7,2,1,0,0.012195122,0.080851064,-0.83908046,-0.654961832,0,-0.062811791,0.049832112,-0.158500744,0.068092919,14.0,0.0,9.0,9.0,1,1.0,2.0,2,11.0,1,0,0,0,0,0,0,1,1,162,166,2,6,6,10,216,267,5,8,9,17,495,53,10,0,28,3,552,113,9,0,25,5
06-7517,-1,4/15/2008,4,2008,IRIZARRY v. UNITED STATES,22,0,0.333333333,1,0.818181818,-0.333333333,6/12/2008,5,4,0,1,0.177142857,1,0.217391304,-0.784786642,-0.163988095,-0.087689394,-0.1275,-0.027866497,0.173042929,3.0,2.0,11.0,11.0,1,1.0,2.0,1,2.0,1,0,0,0,230,0,3,1,5,216,309,4,7,7,14,0,136,0,3,1,8,261,406,4,7,11,30,481,58,6,0,16,2
06-766,1,10/3/2007,10,2007,NEW YORK STATE BOARD OF ELECTIONS et al. v. MARGARITA LOPEZ TORRES ET AL,6,1,-0.2,-0.8,1,-1,1/16/2008,9,0,1,-0.064220183,-0.234501348,-0.695090439,0.512455516,-0.414462081,0.265941558,-0.212693603,-0.15114881,0.128405999,-0.165013774,5.0,13.0,2.0,2.0,1,2.0,2.0,3,12.0,1,1,1,174,160,3,3,6,8,229,144,2,2,5,7,328,59,6,4,18,5,137,431,3,10,6,26,401,172,9,1,25,12
06-7949,0,10/2/2007,10,2007,BRIAN MICHAEL GALL v. UNITED STATES,-6,0.2,-1,-1,-0.8,-0.230769231,12/10/2007,7,2,1,0.235294118,-0.573667712,-1,-0.77675841,0.293818798,-0.082440476,-0.117261905,0.090277778,0.156894841,-0.020625607,3.0,2.0,8.0,8.0,1,1.0,4.0,1,11.0,1,0,0,312,504,0,7,10,19,256,68,5,1,12,4,124,0,3,0,5,1,581,73,9,0,24,4,421,764,8,7,30,27
06-8120,0,4/23/2007,4,2007,BRUCE EDWARD BRENDLIN v. CALIFORNIA,-14,-0.6,1,-0.636363636,-0.142857143,-0.4,6/18/2007,9,0,1,0.010650888,0.711191336,0.101694915,-0.131832797,-0.119453925,-0.039084848,-0.563425926,-0.108642769,0.031530176,-0.028458995,3.0,5.0,0.0,0.0,1,1.0,1.5,1,11.0,1,0,0,418,427,4,9,24,25,40,242,1,3,2,14,371,455,10,3,24,17,352,270,6,6,16,15,492,400,7,5,23,25
